solution_id,user_id,solution_body,solution_details,,,,,,,,,,,
1,admin,Terapeuttinen harjoittelu,terapeuttinen harjoittelu tarkoittaa asiakas kuntouttaminen aktiivisilla ja toiminnallinen harjoite mukaan lukea venyttely joka perustua fysioterapeutti tehdä tutkimus ja ongelma määrittäminen,,,,,,,,,,,
2,admin,Liikunta yleisesti,liikunta olla tarkoituksellinen fyysinen aktiivisuus joka tarkoitus olla esimerkiksi kunnon kohottaminen, terveys parantaminen tai pelkästään liikunta tuottaa ilo ja nautinto,,,,,,,,,,
3,admin,Informaatio ja valistus,informaatio pyrkiä antaa potilas oikea tieto, jotta hän ymmärtää paremmin selkäkipu syy, se ennuste ja erilainen hoitovaihtoehto. informaatio pyrkiä myös vaikuttaa potilas käyttäytyminen ja motivaatio, jotta hän uskaltaa käyttää selkä oikein ja hyödyllinenitä harjoite,,,,,,,,
4,admin,Manipulaatio,manipulaatio tarkoittaa erilainen käsillä tehdä hoitotekniikka, joka lisätä yksittäinen nikama liikerata hallita ja nivel liikerata suuntainen liike,,,,,,,,,,
5,admin,Lääkehoito,selkäkipu lääkehoito pyrkiä poistaa tai lieventää kipuoire erilainen tulehdusreaktio tai kipurata toiminta vaikuttaa lääke,,,,,,,,,,,
6,admin,Voimaharjoittelu,lihasvoima ja kestävyys parantaminen progressiivinen harjoittelu. erityisesti syvä lihas pitää saada kunto esim pilatestyyppinen harjoite,,,,,,,,,,,
7,admin,Yleissairaus ja riskitekijä vaikuttaminen,yleis-sairaus ja muu selkä vaikuttaa tekijä hoitaminen selkäkipu yhteys olla elämäntapatekijä olla mm. tupakointi, ylipaino, liikkumattomuus,,,,,,,,,
8,admin,Ergonomia,työ ja vapaa-aika toimi kohdistua muutos esimerkiksi työtapa ja menetelmä, työväline, työympäristö, ja työ järjestely muutos,,,,,,,,
9,admin,Perusteellinen biopsykososiaalinen arvio,perehdytys ala-selkäkipu patologi, ennuste ja syy biopsykososiaalinen näkökulma potilas selkä toimintarajoite ja väärä elämäntapojhen korjaus tarvita moni-ammatillinen. motivointi omatoiminen harjoittelu,,,,,,,,,,
10,admin,Venyttely,aktiivinen harjoittelu Jäykkä selkä mobilisaatio lihas venytysharjoite kireys,,,,,,,,,,,
11,admin,Hengitysharjoitus,syvään hengittäminen palleahengitys selkä mieluiten piikkimatto päällä maata, jalka koukku auttaa rentouttaa lihas ja vähentää kipu hengittäminen ajatus siirtäminen ja tietoisesti hengitys ohjaaminen eri osa keuhko laaja hengitysmuoto olla palleahengitys hengitysharjoitus voida toteuttaa mikä asento tahansa, kunhan asento olla niin mukava, että hengitysharjoitus voida keskittyä vain hengitys auttaa rentoutua ja hallita kipu,,,,,,,,
